,qualtrics_id,word_count,bigram_count,trigram_count,combination_ratio,content_word_count,content_word_ratio,median_SUBTLEX_freq,log_min_SUBTLEX_freq,SES.ycoord,political_scale,political_interest,schooling_level,age,ttr,Highspin_successes,Lowspin_successes,Highspin_trials,Lowspin_trials,Span_trials,Span_successes
138,R_29hS8k1jQP4PFsZ,83.71428571428571,82.71428571428571,81.71428571428571,0.9753826270735904,52.0,0.613908938142303,2689.3053221288515,-0.9662604074286936,,,,,,0.4522184300341297,19.0,2.0,25.0,25.0,27.0,16.0
142,R_2BkE5jebQcOMaeA,76.75,75.75,74.75,0.9693910164704664,54.125,0.7218600167524197,475.07843137254906,0.13823803389064573,425.0,6.0,4.0,2.0,37.0,0.4609120521172638,10.0,2.0,25.0,25.0,15.0,7.0
143,R_2BnfGrLj9A3UVtF,14.395348837209303,13.395348837209303,12.395348837209303,0.8247186241365244,8.116279069767442,0.5902718340416143,1640.5720474236207,1.5243101743621046,547.0,3.0,2.0,7.0,31.0,0.4168012924071082,11.0,5.0,25.0,25.0,27.0,22.0
145,R_2CQIiZ3eiD9r4cV,13.159090909090908,12.159090909090908,11.159090909090908,0.8156521125308065,7.295454545454546,0.55867976380501,2854.7419786096257,1.3874891106691871,416.0,3.0,5.0,4.0,26.0,0.40241796200345425,15.0,5.0,25.0,25.0,27.0,19.0
146,R_2CUM34WpI4RxFDz,15.026315789473685,14.026315789473685,13.026315789473685,0.8475350708205064,8.289473684210526,0.5638228712591009,1978.5717234262127,1.2313577100294688,425.0,3.0,3.0,3.0,19.0,0.4220665499124343,16.0,8.0,25.0,25.0,27.0,15.5
147,R_2Ck0Hv6ec9x0c9P,13.648148148148149,12.648148148148149,11.648148148148149,0.773292517825579,7.666666666666667,0.5986072340407267,2834.160130718954,1.3922512350914145,562.0,4.0,2.0,5.0,51.0,0.33649932157394846,12.0,3.0,25.0,24.0,27.0,19.0
150,R_2EBt7YqYXsY0kXp,12.0,11.0,10.0,0.794223882606976,7.1066666666666665,0.6062613019163026,2518.657647058824,2.1204524341289743,166.0,4.0,7.0,2.0,55.0,0.4066666666666667,15.0,5.0,24.0,24.0,27.0,15.0
151,R_2Eaa8QgmL5YUswx,18.266666666666666,17.266666666666666,16.266666666666666,0.8703452833311643,10.433333333333334,0.5673334269592832,1459.55522875817,0.8636867835970946,523.0,3.0,5.0,2.0,19.0,0.4489051094890511,14.0,10.0,25.0,25.0,42.0,36.0
152,R_2Ev0qUaKMxfNHa4,16.285714285714285,15.285714285714286,14.285714285714286,0.851729025773147,8.914285714285715,0.556314371903795,2384.1095238095236,1.1627695845822776,499.0,4.0,2.0,3.0,19.0,0.43508771929824563,19.0,9.0,25.0,25.0,27.0,20.0
154,R_2OUy6tJrqyjtsFv,17.47222222222222,16.47222222222222,15.472222222222221,0.8528000368590671,9.472222222222221,0.5627540340418357,3197.153867102397,1.656795572621834,665.0,4.0,2.0,4.0,26.0,0.30842607313195547,13.0,10.0,25.0,24.0,15.0,7.5
156,R_2PtbF7oEQ3BMaF3,14.146341463414634,13.146341463414634,12.146341463414634,0.8418824878294031,7.902439024390244,0.5621782868016727,2604.371831659493,1.153407234048755,492.0,2.0,4.0,5.0,25.0,0.3810344827586207,14.0,4.0,25.0,25.0,27.0,18.5
160,R_2S02env9Jv4fMyM,78.28571428571429,77.28571428571429,76.28571428571429,0.9736837891397648,42.42857142857143,0.5427211831560226,1613.151260504202,0.44435498840638654,670.0,5.0,5.0,3.0,48.0,0.3905109489051095,7.0,3.0,24.0,23.0,42.0,31.0
161,R_2S3sQla6nbOcRYy,15.93939393939394,14.93939393939394,13.93939393939394,0.8518635711052394,9.030303030303031,0.577340007971836,2093.6393345216875,1.2559394134626893,867.0,2.0,7.0,3.0,26.0,0.4714828897338403,16.0,4.0,25.0,25.0,15.0,8.0
162,R_2Sk1ezQVQ8FdRz7,14.108108108108109,13.108108108108109,12.108108108108109,0.7755868469369613,8.378378378378379,0.6131096069139548,3064.2061473237945,2.3436300889827995,860.0,2.0,3.0,2.0,47.0,0.36973180076628354,9.0,1.0,25.0,25.0,15.0,7.0
165,R_2TUjTIuQf4isKia,21.91111111111111,20.91111111111111,19.91111111111111,0.871767230568349,11.933333333333334,0.5630372836217507,1958.5278867102397,1.663212736389418,494.0,2.0,3.0,3.0,60.0,0.32454361054766734,11.0,3.0,25.0,25.0,27.0,19.0
166,R_2Toggmc212aeg2d,8.52127659574468,7.5212765957446805,6.5212765957446805,0.7083339237594557,4.829787234042553,0.5859919483589696,3480.031706299541,2.2592472627120173,506.0,2.0,6.0,6.0,28.0,0.35081148564294634,16.0,11.0,25.0,25.0,27.0,18.0
167,R_2TuuyUCKylikj02,16.774193548387096,15.774193548387096,14.774193548387096,0.8642534314341183,9.129032258064516,0.5661331276075913,1616.2947501581277,1.0339255737104986,669.0,2.0,2.0,3.0,19.0,0.4846153846153846,15.0,5.0,25.0,25.0,6.0,3.0
169,R_2VI8lPp4TcfGDyE,20.366666666666667,19.366666666666667,18.366666666666667,0.8862561203198284,11.166666666666666,0.5527206248525063,1361.0297385620916,-0.2313271852387011,491.0,7.0,5.0,3.0,20.0,0.46481178396072015,19.0,9.0,25.0,25.0,27.0,17.0
170,R_2VLbiekyzGprx1b,13.857142857142858,12.857142857142858,11.857142857142858,0.804861818486956,8.047619047619047,0.6035105127572451,2406.3207282913163,1.3845608646053589,482.0,4.0,1.0,5.0,28.0,0.44673539518900346,17.0,6.0,25.0,25.0,15.0,11.5
171,R_2VQmEDuSGxHMXBM,11.717391304347826,10.717391304347826,9.717391304347826,0.7854016074242918,6.630434782608695,0.5874276466549623,2957.1939471440746,2.066780299711671,744.0,3.0,4.0,4.0,56.0,0.3580705009276438,15.0,4.0,25.0,25.0,15.0,9.0
172,R_2XjNzHKmkHV47AW,11.630434782608695,10.630434782608695,9.630434782608695,0.7898455472826182,7.630434782608695,0.6655373500768238,2187.929241261722,2.1727012706884734,422.0,4.0,1.0,5.0,25.0,0.48598130841121495,10.0,5.0,25.0,25.0,42.0,34.5
173,R_2XnGltSUYLG6zNo,14.105263157894736,13.105263157894736,12.105263157894736,0.8266117742255342,8.605263157894736,0.6266843411721518,1717.2327141382868,2.0599786845757295,252.0,3.0,3.0,3.0,27.0,0.4608208955223881,13.0,10.0,25.0,24.0,15.0,7.5
174,R_2XnQ4wF2i3SATPF,21.857142857142858,20.857142857142858,19.857142857142858,0.8826613730741018,11.571428571428571,0.5553783199609341,1745.8508403361343,0.878472561306068,428.0,2.0,3.0,3.0,21.0,0.40032679738562094,18.0,8.0,25.0,25.0,60.0,45.0
175,R_2Xor5pNaJOPR6ey,15.378378378378379,14.378378378378379,13.378378378378379,0.8431751802072641,8.594594594594595,0.5700778171648628,2163.274509803922,1.0547947566458922,763.0,4.0,4.0,2.0,18.0,0.39718804920913886,15.0,4.0,25.0,25.0,15.0,9.0
176,R_2YM5kgNYaV6aiT3,17.17543859649123,16.17543859649123,15.175438596491228,0.850124421590803,9.543859649122806,0.5644985738420936,2207.7406260749917,0.6782699100357261,422.0,1.0,7.0,3.0,20.0,0.3687436159346272,22.0,11.0,25.0,25.0,42.0,35.0
177,R_2YglHEuzjgVHl8Z,12.09433962264151,11.09433962264151,10.09433962264151,0.8100142484832011,6.60377358490566,0.5567060454079263,2215.215501294858,2.046746544343071,592.0,3.0,3.0,2.0,19.0,0.38533541341653665,19.0,9.0,25.0,25.0,27.0,19.0
180,R_2ZKZt45D4RyCvF5,12.88888888888889,11.88888888888889,10.88888888888889,0.7129587450533742,7.4222222222222225,0.6157084642174157,2001.6396514161218,2.08996709157214,487.0,5.0,7.0,2.0,51.0,0.4396551724137931,15.0,3.0,25.0,25.0,15.0,11.0
181,R_2ZQQxc51YXd3yLG,13.636363636363637,12.636363636363637,11.636363636363637,0.813682478637844,7.886363636363637,0.5887448438318263,1864.241310160428,1.3800535184424656,531.0,5.0,5.0,5.0,27.0,0.47,15.0,5.0,25.0,25.0,15.0,7.5
182,R_2aahrnjCORo5fg0,11.245283018867925,10.245283018867925,9.245283018867925,0.7844346865866942,6.830188679245283,0.6239830118540083,1897.722715501295,1.5588047194048298,674.0,3.0,5.0,5.0,40.0,0.41442953020134227,16.0,7.0,25.0,24.0,6.0,3.0
